Name,Num Cards,Handtrap,Starter,Extender,Garnet
Fabled Lurrie,1
Effect Veiler,3
Droll & Lock Bird,3
Chaos Summoning Beast,1
Samsara D Lotus,3
Gruesome Grave Squirmer,2
"Maxx ""C""",2
Dark Beckoning Beast,2
Ash Blossom & Joyous Spring,3
Mulcharmy Fuwalos,1
Unchained Soul of Sharvara,1
Fiendsmith Engraver,2
Yubel,1
Spirit of Yubel,3
Yubel - Terror Incarnate,1
One for One,1
Piri Reis Map,2
Fiendsmith's Tract,2
Nightmare Throne,2
Opening of the Spirit Gates,2
Nightmare Pain,3
Called by the Grave,2
Crossout Designator,1
Fiendsmith's Sanct,1
Infinite Impermanence,3
Abominable Chamber of the Unchained,1

Extra Deck
Name,Num Cards
Necroquip Princess,1
Aerial Eater,1
Phantom of Yubel,2
Salamangreat Almiraj,1
Fiendsmith's Requiem,1
Unchained Soul of Rage,1
Muckraker From the Underworld,1
Unchained Soul Lord of Yama,1
SP Little Knight,1
Moon of the Closed Heaven,1
Fiendsmith's Sequence,1
Knightmare Gryphon,1
"Apollousa, Bow of the Goddess",1
Underworld Goddess of the Closed World,1
